                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9471,                 4.7976,                 1.4198,                      0,                      0,                      0,                      0,                  1.736,                    inf,                  1.422,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.9923,                 4.8162,                 1.4409,                0.10161,                0.10724,                0.06487,                0.05828,                  1.236,                    inf,                 1.0876,             7.1197e-05,             7.1197e-05,             7.1197e-05
                      3,                 1.4841,                 3.4577,                 1.1666,                0.37624,                0.75265,                0.48248,                0.35056,                 1.0721,                 1.6878,                0.93794,             0.00011351,             0.00011351,             0.00011351
                      4,                 1.0295,                 1.4439,                0.98273,                0.50779,                0.73006,                0.59289,                0.41142,                 1.0364,                    inf,                0.92683,             0.00015552,             0.00015552,             0.00015552
                      5,                0.97068,                0.91312,                0.93376,                0.57948,                0.81745,                0.69422,                0.50318,                0.86734,                    inf,                0.90611,             0.00019723,             0.00019723,             0.00019723
                      6,                0.84065,                0.74841,                0.93491,                  0.601,                0.86109,                0.68358,                0.53802,                0.83631,                 1.5555,                0.90374,             0.00023864,             0.00023864,             0.00023864
                      7,                 0.8012,                0.70542,                0.91154,                0.65137,                0.84937,                0.76774,                0.57746,                0.85072,                    inf,                0.90608,             0.00027974,             0.00027974,             0.00027974
                      8,                 0.7032,                0.65324,                0.91261,                0.63886,                0.83179,                0.75419,                0.58408,                0.80339,                    inf,                0.89913,             0.00032054,             0.00032054,             0.00032054
                      9,                0.77436,                0.65882,                0.90532,                0.61648,                0.87596,                0.75552,                0.60707,                 0.7346,                 1.3262,                0.87945,             0.00036103,             0.00036103,             0.00036103
                     10,                0.69192,                0.60804,                0.87618,                0.70408,                0.84908,                0.80116,                0.62219,                0.79823,                 1.1129,                0.88703,             0.00040122,             0.00040122,             0.00040122
