                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4846,                 3.3099,                 1.2082,                0.47001,                 0.7551,                0.48664,                0.34026,                 1.0042,                 2.5452,                0.92353,              0.0002858,              0.0002858,              0.0002858
                      2,                 1.0368,                 1.3933,                0.98018,                0.53394,                 0.7974,                0.63098,                0.45076,                0.88746,                  2.226,                0.90642,             0.00058396,             0.00058396,             0.00058396
                      3,                 1.0615,                 1.0872,                0.97235,                0.57457,                0.83358,                0.65676,                0.45011,                0.97385,                 1.5292,                 0.9248,             0.00088013,             0.00088013,             0.00088013
                      4,                  1.032,                 1.0969,                0.97105,                 0.6184,                0.68589,                0.63902,                0.45349,                 1.0245,                 1.6516,                0.95727,              0.0011743,              0.0011743,              0.0011743
                      5,                 1.1806,                 1.1942,                0.97729,                 0.6184,                0.68589,                0.63902,                0.45349,                 1.0245,                 1.6516,                0.95727,              0.0014101,              0.0014101,              0.0014101
                      6,                0.92828,                 1.0479,                0.97229,                0.56201,                0.80924,                0.69494,                0.51629,                0.90637,                 1.0642,                0.93703,              0.0014054,              0.0014054,              0.0014054
                      7,                0.90025,                0.97854,                0.94355,                0.65008,                0.69634,                0.70107,                0.51974,                0.87288,                 1.8413,                 0.9347,              0.0014007,              0.0014007,              0.0014007
                      8,                 1.0057,                 1.1807,                0.97895,                0.65008,                0.69634,                0.70107,                0.51974,                0.87288,                 1.8413,                 0.9347,               0.001396,               0.001396,               0.001396
                      9,                0.97088,                 0.9597,                0.95172,                 0.4724,                0.82073,                0.71271,                0.56883,                0.84718,                 1.2036,                 0.9356,              0.0013913,              0.0013913,              0.0013913
                     10,                 1.0184,                0.89763,                0.93377,                0.69093,                0.71635,                0.77225,                0.56153,                0.95225,                 1.1768,                0.95551,              0.0013866,              0.0013866,              0.0013866
                     11,                0.90865,                 0.8901,                0.95047,                0.69093,                0.71635,                0.77225,                0.56153,                0.95225,                 1.1768,                0.95551,              0.0013818,              0.0013818,              0.0013818
                     12,                0.88526,                0.88016,                0.94837,                0.21192,                0.29089,                0.15084,                0.13226,                  1.058,                    inf,                 1.0554,              0.0013771,              0.0013771,              0.0013771
                     13,                0.89008,                0.86518,                0.96613,                 0.0109,                 0.0416,                0.00585,                0.00553,                0.91889,                    inf,                  1.056,              0.0013724,              0.0013724,              0.0013724
                     14,                0.82153,                0.76146,                0.93245,                 0.0109,                 0.0416,                0.00585,                0.00553,                0.91889,                    inf,                  1.056,              0.0013677,              0.0013677,              0.0013677
                     15,                0.82674,                0.75445,                0.93864,                0.47146,                0.78897,                0.65146,                0.50986,                0.81117,                0.84871,                0.91118,               0.001363,               0.001363,               0.001363
                     16,                0.81195,                0.77877,                0.94313,                0.74378,                0.87334,                0.86336,                0.66087,                0.77384,                0.66071,                0.90387,              0.0013583,              0.0013583,              0.0013583
                     17,                0.82758,                0.74558,                0.93889,                0.74378,                0.87334,                0.86336,                0.66087,                0.77384,                0.66071,                0.90387,              0.0013535,              0.0013535,              0.0013535
                     18,                0.89239,                0.77442,                0.93249,                0.87896,                0.86901,                0.90671,                0.69722,                0.73551,                0.62479,                0.89411,              0.0013488,              0.0013488,              0.0013488
                     19,                0.84077,                0.75396,                 0.9195,                0.84463,                0.83653,                0.88428,                0.70072,                0.69859,                0.59271,                0.89322,              0.0013441,              0.0013441,              0.0013441
                     20,                0.82826,                0.71833,                0.91025,                0.84463,                0.83653,                0.88428,                0.70072,                0.69859,                0.59271,                0.89322,              0.0013394,              0.0013394,              0.0013394
                     21,                0.78389,                0.66659,                0.90176,                0.85377,                0.86514,                0.89565,                0.70479,                0.71883,                0.56849,                0.89249,              0.0013347,              0.0013347,              0.0013347
                     22,                0.76246,                0.65703,                0.90538,                0.85377,                0.86514,                0.89565,                0.70479,                0.71883,                0.56849,                0.89249,                0.00133,                0.00133,                0.00133
                     23,                 0.8829,                0.71873,                0.91794,                0.91114,                0.92219,                0.94838,                0.73367,                0.74526,                 0.5578,                0.89104,              0.0013253,              0.0013253,              0.0013253
                     24,                0.85805,                0.68137,                0.91219,                0.91912,                 0.9312,                0.95767,                0.72881,                0.75723,                0.56737,                0.89438,              0.0013205,              0.0013205,              0.0013205
                     25,                0.84129,                0.66332,                0.91809,                0.91912,                 0.9312,                0.95767,                0.72881,                0.75723,                0.56737,                0.89438,              0.0013158,              0.0013158,              0.0013158
                     26,                0.84421,                0.69239,                0.93525,                 0.8961,                0.90868,                0.92576,                0.72653,                0.76264,                 0.5802,                0.89601,              0.0013111,              0.0013111,              0.0013111
                     27,                0.85184,                0.67595,                0.92038,                0.89278,                0.90459,                0.94169,                 0.7638,                0.67978,                0.57488,                0.88679,              0.0013064,              0.0013064,              0.0013064
                     28,                0.82738,                0.70572,                 0.8935,                0.89278,                0.90459,                0.94169,                 0.7638,                0.67978,                0.57488,                0.88679,              0.0013017,              0.0013017,              0.0013017
                     29,                 0.8271,                0.69007,                0.91766,                0.92571,                0.90945,                0.96571,                0.78116,                0.70125,                0.58775,                0.89706,               0.001297,               0.001297,               0.001297
                     30,                0.75596,                0.64615,                0.91215,                0.92908,                0.93415,                  0.977,                0.79548,                0.67617,                0.56683,                0.88334,              0.0012922,              0.0012922,              0.0012922
                     31,                0.74517,                0.67272,                0.91303,                0.92908,                0.93415,                  0.977,                0.79548,                0.67617,                0.56683,                0.88334,              0.0012875,              0.0012875,              0.0012875
                     32,                0.74438,                0.64778,                0.89614,                0.95683,                 0.9479,                0.98064,                0.79093,                0.69204,                 0.5286,                 0.8824,              0.0012828,              0.0012828,              0.0012828
                     33,                0.82417,                0.67294,                0.90606,                0.97155,                0.94563,                0.98095,                0.78819,                0.70274,                0.49936,                0.88765,              0.0012781,              0.0012781,              0.0012781
                     34,                0.76237,                 0.6107,                0.89543,                0.97155,                0.94563,                0.98095,                0.78819,                0.70274,                0.49936,                0.88765,              0.0012734,              0.0012734,              0.0012734
                     35,                0.79439,                0.60268,                0.88675,                0.96526,                0.94566,                0.97943,                 0.7847,                 0.7138,                0.52726,                0.88677,              0.0012687,              0.0012687,              0.0012687
                     36,                0.80256,                0.63553,                0.89926,                0.93707,                0.95292,                0.98169,                0.81196,                0.65812,                0.54565,                0.87575,               0.001264,               0.001264,               0.001264
                     37,                0.75451,                0.65775,                0.90766,                0.93707,                0.95292,                0.98169,                0.81196,                0.65812,                0.54565,                0.87575,              0.0012592,              0.0012592,              0.0012592
                     38,                0.80739,                0.63202,                0.88306,                0.90881,                0.95965,                 0.9629,                0.79578,                0.67867,                0.53858,                0.87312,              0.0012545,              0.0012545,              0.0012545
                     39,                0.73736,                 0.6208,                0.87627,                 0.8906,                0.94684,                0.93017,                0.75959,                0.66676,                0.53546,                0.86898,              0.0012498,              0.0012498,              0.0012498
                     40,                0.75153,                0.61978,                0.89633,                 0.8906,                0.94684,                0.93017,                0.75959,                0.66676,                0.53546,                0.86898,              0.0012451,              0.0012451,              0.0012451
                     41,                0.69338,                 0.5767,                0.87848,                0.83768,                0.94501,                0.86387,                  0.717,                0.62588,                 0.5857,                0.86561,              0.0012404,              0.0012404,              0.0012404
                     42,                0.77391,                0.58309,                0.88019,                0.87514,                0.93591,                0.89628,                0.74449,                0.64544,                0.53313,                0.86487,              0.0012357,              0.0012357,              0.0012357
                     43,                0.71935,                0.57914,                0.88666,                0.87514,                0.93591,                0.89628,                0.74449,                0.64544,                0.53313,                0.86487,              0.0012309,              0.0012309,              0.0012309
                     44,                0.72725,                0.59894,                0.90809,                0.86013,                0.93311,                0.88698,                0.74186,                 0.6209,                0.55903,                0.86312,              0.0012262,              0.0012262,              0.0012262
                     45,                0.64165,                0.55781,                0.86687,                0.96045,                 0.9598,                0.98494,                0.82924,                0.61956,                0.49235,                0.86136,              0.0012215,              0.0012215,              0.0012215
                     46,                0.69445,                0.56386,                0.89493,                0.96045,                 0.9598,                0.98494,                0.82924,                0.61956,                0.49235,                0.86136,              0.0012168,              0.0012168,              0.0012168
                     47,                0.67784,                0.55249,                0.87567,                0.96105,                0.96176,                 0.9854,                0.82838,                0.62627,                0.47708,                0.86106,              0.0012121,              0.0012121,              0.0012121
                     48,                  0.693,                0.55711,                0.88021,                0.96713,                0.96944,                  0.987,                0.82576,                0.62846,                0.46076,                0.85916,              0.0012074,              0.0012074,              0.0012074
                     49,                0.71304,                  0.531,                0.87525,                0.96713,                0.96944,                  0.987,                0.82576,                0.62846,                0.46076,                0.85916,              0.0012026,              0.0012026,              0.0012026
                     50,                0.64856,                0.54573,                0.89504,                0.96503,                0.97518,                0.98791,                0.82516,                 0.6146,                0.45494,                0.85227,              0.0011979,              0.0011979,              0.0011979
                     51,                0.68286,                0.52372,                0.87471,                0.96832,                 0.9772,                0.98909,                0.83925,                0.59905,                0.43028,                0.84939,              0.0011932,              0.0011932,              0.0011932
                     52,                0.70296,                0.52913,                0.86987,                0.96832,                 0.9772,                0.98909,                0.83925,                0.59905,                0.43028,                0.84939,              0.0011885,              0.0011885,              0.0011885
                     53,                0.65255,                0.50475,                0.85842,                0.97796,                0.97507,                0.99067,                0.83704,                0.58331,                0.41829,                0.84516,              0.0011838,              0.0011838,              0.0011838
                     54,                0.64702,                0.50699,                0.86107,                0.97796,                0.97507,                0.99067,                0.83704,                0.58331,                0.41829,                0.84516,              0.0011791,              0.0011791,              0.0011791
